Model,GPU,TP,PP,Energy/req (J),Avg TPOT (s),Token tput (tok/s),Avg Output Tokens,Avg BS (reqs),Max BS (reqs)
google/gemma-2-27b-it,NVIDIA H100 80GB HBM3,2,1,164.38802330085184,0.08919542770626218,1350.1220773050163,394.1485,127.73034455234801,128
google/gemma-2-27b-it,NVIDIA H100 80GB HBM3,2,1,147.25185598265543,0.11068460514265796,1534.2343867408233,395.1565,191.58347481607245,192
google/gemma-2-27b-it,NVIDIA H100 80GB HBM3,2,1,139.41917357638584,0.13542587727128874,1608.5668281926107,395.599,255.39310009718173,256
google/gemma-2-27b-it,NVIDIA H100 80GB HBM3,2,1,133.57836557722138,0.15332230802241725,1734.1074316659144,396.8925,319.1523725316829,320
google/gemma-2-27b-it,NVIDIA H100 80GB HBM3,2,1,126.264876148555,0.20194135108272693,1793.081064315936,395.552,509.7278188539741,512
google/gemma-2-27b-it,NVIDIA H100 80GB HBM3,2,1,232.6901109520897,0.06299438462056176,976.1134159188116,395.8955,62.85978384527873,63
google/gemma-2-2b-it,NVIDIA H100 80GB HBM3,1,1,47.99591901343657,0.2845884956908158,2162.038373794645,485.014,1011.4215767634855,1024
google/gemma-2-2b-it,NVIDIA H100 80GB HBM3,1,1,43.844719961644266,0.29603444631711967,2407.6694748087257,485.006,1253.3946135831382,1280
google/gemma-2-2b-it,NVIDIA H100 80GB HBM3,1,1,40.393390596959506,0.28398363002109595,2662.888924185345,487.879,1476.2297551789077,1536
google/gemma-2-2b-it,NVIDIA H100 80GB HBM3,1,1,50.91063043151008,0.08045757303039246,2162.50558599329,483.9135,191.64400514304083,192
google/gemma-2-2b-it,NVIDIA H100 80GB HBM3,1,1,49.889784935135054,0.1000892701000392,2206.6825325728587,487.2905,255.48707957342083,256
google/gemma-2-2b-it,NVIDIA H100 80GB HBM3,1,1,49.450133771989115,0.12136728811238322,2166.288102589111,484.5715,319.2728860064854,320
google/gemma-2-2b-it,NVIDIA H100 80GB HBM3,1,1,48.80944226126387,0.1763970629330941,2183.0718496438117,488.1095,510.09027777777777,512
google/gemma-2-2b-it,NVIDIA H100 80GB HBM3,1,1,48.82737237909743,0.23848982454211595,2133.986874406808,481.765,762.6073582629674,768
google/gemma-2-9b-it,NVIDIA H100 80GB HBM3,1,1,72.22408280240572,0.07990224445676626,1477.170209181301,377.9765,127.71407000686342,128
google/gemma-2-9b-it,NVIDIA H100 80GB HBM3,1,1,68.11600430916434,0.11174841564235531,1565.4920370966597,381.6685,191.55900501349788,192
google/gemma-2-9b-it,NVIDIA H100 80GB HBM3,1,1,63.738593156362974,0.12669453026707894,1682.4984819715721,380.8515,255.379498634897,256
google/gemma-2-9b-it,NVIDIA H100 80GB HBM3,1,1,61.34889665437333,0.14132761763505902,1791.0729957696922,381.252,319.1307110438729,320
google/gemma-2-9b-it,NVIDIA H100 80GB HBM3,1,1,89.02530662892875,0.050052269896608645,1241.8132447921412,382.104,63.853757867456494,64
meta-llama/Meta-Llama-3.1-405B-Instruct,NVIDIA H100 80GB HBM3,8,2,2178.218700770685,0.21573682973283617,916.8627797580208,451.468,254.9288824383164,256
meta-llama/Meta-Llama-3.1-405B-Instruct,NVIDIA H100 80GB HBM3,8,2,1925.1319750143873,0.2664403580915073,1097.045317376611,453.343,381.2410936205468,384
meta-llama/Meta-Llama-3.1-405B-Instruct,NVIDIA H100 80GB HBM3,8,2,1759.748581481864,0.30305585342227437,1114.9505930760197,452.929,508.7456683168317,512
meta-llama/Meta-Llama-3.1-405B-Instruct,NVIDIA H100 80GB HBM3,8,2,1737.3034278630296,0.3241860920643866,1195.8329599959104,456.36,634.3064377682404,640
meta-llama/Meta-Llama-3.1-405B-Instruct,NVIDIA H100 80GB HBM3,8,2,1581.7762011216703,0.4037276256325455,1372.7703027264965,458.212,1009.2386759581882,1024
meta-llama/Meta-Llama-3.1-405B-Instruct,NVIDIA H100 80GB HBM3,8,2,3352.9224612000157,0.19953576474591758,579.6288595223182,449.804,127.41369221767116,128
meta-llama/Meta-Llama-3.1-70B-Instruct,NVIDIA H100 80GB HBM3,4,1,281.6070901672509,0.2678878145404539,1923.2852092188382,455.5246666666667,974.3732484076434,1024
meta-llama/Meta-Llama-3.1-70B-Instruct,NVIDIA H100 80GB HBM3,4,1,443.2108658477833,0.10070925436814969,1158.9559021413895,462.212,127.73486890468023,128
meta-llama/Meta-Llama-3.1-70B-Instruct,NVIDIA H100 80GB HBM3,4,1,382.9547628564023,0.11772404553558552,1390.791871126722,458.788,191.5130529369108,192
meta-llama/Meta-Llama-3.1-70B-Instruct,NVIDIA H100 80GB HBM3,4,1,354.30981917142134,0.13785944235767914,1463.7254675753325,457.703,255.1765571358509,256
meta-llama/Meta-Llama-3.1-70B-Instruct,NVIDIA H100 80GB HBM3,4,1,341.61858605507024,0.15023724554677176,1548.6183592777977,458.801,318.72716199756394,320
meta-llama/Meta-Llama-3.1-70B-Instruct,NVIDIA H100 80GB HBM3,4,1,306.96321636634997,0.18104039836121955,1664.6468427423313,451.762,507.3937172774869,512
meta-llama/Meta-Llama-3.1-70B-Instruct,NVIDIA H100 80GB HBM3,4,1,605.4783626059292,0.07676991550136714,811.4518601002469,461.246,63.87616852349853,64
meta-llama/Meta-Llama-3.1-70B-Instruct,NVIDIA H100 80GB HBM3,4,1,322.0687643461606,0.2424733897422188,1680.0319178644522,453.606,746.1826484018264,768
meta-llama/Meta-Llama-3.1-8B-Instruct,NVIDIA H100 80GB HBM3,1,1,53.931404195254245,0.27897055166793744,2177.6859839035324,482.116,975.7425474254743,1024
meta-llama/Meta-Llama-3.1-8B-Instruct,NVIDIA H100 80GB HBM3,1,1,63.122728432700505,0.056651204094629815,2152.5157219742528,483.135,127.76696198272961,128
meta-llama/Meta-Llama-3.1-8B-Instruct,NVIDIA H100 80GB HBM3,1,1,57.386763351488256,0.06995094263350002,2474.6198261938525,483.033,191.62453651458972,192
